"","enri","enri","enri","enri","enri","enri","enri","enri","enri","enri","enri","enri","enri","enri","enri","enri","enri","enri"
"HIST1H2AC",4.86888814467515,0.76416906820365,0.2649300420885,0.398442367601246,0.625674633770239,0.111366245694604,3.00585411544316,0.644314054205085,0.730529206190714,0.544642857142857,0.495111219750672,0.248739110499771,0.110830810628994,0.305798312941713,0.169054441260745,2.07551642397562,0.426208917730793,1.58126721763085
"FKBP11",4.89484259879437,7.40417867435159,2.20611989534751,3.5088785046729,8.06283731688512,1.06014307162413,6.28158295281583,5.70690136909751,10.0299550673989,2.64880952380952,5.08640919090687,1.97707473635947,0.959804910864447,1.97287027889657,0.307545367717287,2.20295744440682,5.99434791710278,4.23426573426573
"ITM2C",3.34444072337575,1.85987031700288,5.44670685928791,3.64423676012461,0.34656900539707,1.09158350260532,14.4879990633415,4.28290025146689,4.56590114827758,9.95419973544974,5.09655340992422,1.66001834021091,0.365960309451732,7.68196671479596,0.195319961795606,6.35003950784513,2.1417207452376,10.8396906124179
"SRM",1.65011721366376,2.04658981748319,1.33977931975884,1.39626168224299,3.7787201233616,0.386999911684183,2.08453342699918,1.67504889633976,3.09860209685472,0.969907407407407,0.565876313859692,0.47501146263182,0.432391523713421,1.07819743141576,0.671919770773639,1.19381420024833,1.95499267322587,7.55001059546514
"DNAJC1",2.30760214333557,3.54839097022094,1.46445228074167,1.53629283489097,1.81148804934464,0.740086549501016,3.05514576747453,1.2975691533948,2.60396904643035,2.55654761904762,1.1137863603031,1.07932141219624,0.417087117389842,3.88114598373737,0.454632282712512,2.34394401173947,4.18651873560812,3.28544183089638
"CPEB4",1.05852310783657,0.68924111431316,0.905926515754749,0.549065420560748,1.45412490362375,0.509317318731785,2.67357452288959,1.32089969265158,1.59173739390914,1.35185185185185,0.667196284527011,0.603622191655204,0.350824083417423,3.39174709324417,1.13944603629417,0.545434021898634,1.57923382876282,4.15299851663488
"MEF2C",1.25544206296048,1.68443804034582,0.978500739392561,0.574766355140187,1.77447956823439,0.45261856398481,2.91054911602857,0.708298407376362,1.49650524213679,0.859623015873016,1.1159863114153,0.74438331040807,0.364951227716112,2.85166046052132,0.314231136580707,1.20735974714979,1.286162863722,1.86278872642509
"PRDX4",2.77503348961822,4.38748799231508,3.54612672050961,6.79828660436137,3.97725520431766,0.54217080279078,9.99157007376185,3.13202011735122,6.87618572141787,2.78240740740741,2.33549254461012,1.11439706556625,0.559535822401614,1.94878030245459,0.379178605539637,4.18817022237273,3.21205777684739,3.37465564738292
"CREB3L2",2.6919792364367,0.823126801152738,0.816289386872938,1.04034267912773,0.536622976098689,0.603108716771174,5.26320103032432,0.546102263202012,1.27745881178233,1.16749338624339,0.782815937423613,1.21297569922054,0.485704675412042,0.866175241279733,0.262655205348615,0.682018286488317,3.1410927360268,2.29052765416402
"CLPTM1L",1.52988948425988,1.26885206532181,1.42145375952679,2.69221183800623,3.26445643793369,0.668109158350261,2.96019201498654,2.49776473875384,2.19383424862706,2.01736111111111,1.16401857736495,1.1162310866575,0.320215270770266,2.11041872482711,0.337631327602674,1.26312224856079,2.57588444630521,7.19262555626192
